team,market_team,american_odds,decimal_odds,implied_raw,fair_prob_prop,fair_prob_shin,market_prob,overround,p_winner,eliminated
Japan,Japan,6500,66.0,0.015151515151515152,0.012892191578516921,0.01149319885023415,0.01149319885023415,1.1752474402228932,0.0586,False
Mexico,Mexico,8000,81.0,0.012345679012345678,0.010504748693606378,0.008959012338226371,0.008959012338226371,1.1752474402228932,0.0706,False
Ecuador,Ecuador,8000,81.0,0.012345679012345678,0.010504748693606378,0.008959012338226371,0.008959012338226371,1.1752474402228932,0.0018,False
Turkey,Turkey,9000,91.0,0.01098901098901099,0.009350380705297987,0.007744384009044651,0.007744384009044651,1.1752474402228932,0.004,False
Croatia,Croatia,9000,91.0,0.01098901098901099,0.009350380705297987,0.007744384009044651,0.007744384009044651,1.1752474402228932,0.0099,False
Senegal,Senegal,9000,91.0,0.01098901098901099,0.009350380705297987,0.007744384009044651,0.007744384009044651,1.1752474402228932,0.0149,False
Sweden,Sweden,12000,121.0,0.008264462809917356,0.007032104497372866,0.005342106922647659,0.005342106922647659,1.1752474402228932,0.0013,False
Austria,Austria,15000,151.0,0.006622516556291391,0.005634997643590177,0.003936142486295287,0.003936142486295287,1.1752474402228932,0.0015,False
Canada,Canada,20000,201.0,0.004975124378109453,0.004233256936229436,0.0025874571318692707,0.0025874571318692707,1.1752474402228932,0.0213,False
Scotland,Scotland,20000,201.0,0.004975124378109453,0.004233256936229436,0.0025874571318692707,0.0025874571318692707,1.1752474402228932,0.0002,False
Côte d'Ivoire,Ivory Coast,25000,251.0,0.00398406374501992,0.0033899786620801464,0.0018287803483346312,0.0018287803483346312,1.1752474402228932,0.0083,False
Czechia,Czechia,25000,251.0,0.00398406374501992,0.0033899786620801464,0.0018287803483346312,0.0018287803483346312,1.1752474402228932,0.0003,False
Paraguay,Paraguay,30000,301.0,0.0033222591362126247,0.0028268592829970656,0.0013577860705621977,0.0013577860705621977,1.1752474402228932,0.0005,False
Egypt,Egypt,30000,301.0,0.0033222591362126247,0.0028268592829970656,0.0013577860705621977,0.0013577860705621977,1.1752474402228932,0.0019,False
Ghana,Ghana,30000,301.0,0.0033222591362126247,0.0028268592829970656,0.0013577860705621977,0.0013577860705621977,1.1752474402228932,0.0005,False
Algeria,Algeria,35000,351.0,0.002849002849002849,0.0024241727754476263,0.0010454502463084151,0.0010454502463084151,1.1752474402228932,0.0053,False
Korea Republic,South Korea,40000,401.0,0.0024937655860349127,0.0021219068433469246,0.00082808789143018,0.00082808789143018,1.1752474402228932,0.0205,False
Bosnia-Herzegovina,Bosnia and Herzegovina,50000,501.0,0.001996007984031936,0.001698372543277678,0.0005541299683284557,0.0005541299683284557,1.1752474402228932,0.0,False
Tunisia,Tunisia,50000,501.0,0.001996007984031936,0.001698372543277678,0.0005541299683284557,0.0005541299683284557,1.1752474402228932,0.0002,False
Australia,Australia,60000,601.0,0.0016638935108153079,0.0014157814379070163,0.0003952754793987947,0.0003952754793987947,1.1752474402228932,0.0179,False
Iran,Iran,70000,701.0,0.0014265335235378032,0.001213815469589325,0.00029546537389756077,0.00029546537389756077,1.1752474402228932,0.0234,False
Congo DR,Congo DR,100000,1001.0,0.000999000999000999,0.0008500346095725442,0.0001486053039051653,0.0001486053039051653,1.1752474402228932,0.0004,False
Saudi Arabia,Saudi Arabia,100000,1001.0,0.000999000999000999,0.0008500346095725442,0.0001486053039051653,0.0001486053039051653,1.1752474402228932,0.0032,False
South Africa,South Africa,100000,1001.0,0.000999000999000999,0.0008500346095725442,0.0001486053039051653,0.0001486053039051653,1.1752474402228932,0.0002,False
Panama,Panama,100000,1001.0,0.000999000999000999,0.0008500346095725442,0.0001486053039051653,0.0001486053039051653,1.1752474402228932,0.0072,False
Cape Verde Islands,Cape Verde,100000,1001.0,0.000999000999000999,0.0008500346095725442,0.0001486053039051653,0.0001486053039051653,1.1752474402228932,0.0,False
Qatar,Qatar,150000,1501.0,0.0006662225183211193,0.0005668785104477794,6.704240060156795e-05,6.704240060156795e-05,1.1752474402228932,0.0005,False
Uzbekistan,Uzbekistan,150000,1501.0,0.0006662225183211193,0.0005668785104477794,6.704240060156795e-05,6.704240060156795e-05,1.1752474402228932,0.0035,False
New Zealand,New Zealand,150000,1501.0,0.0006662225183211193,0.0005668785104477794,6.704240060156795e-05,6.704240060156795e-05,1.1752474402228932,0.0139,False
Iraq,Iraq,150000,1501.0,0.0006662225183211193,0.0005668785104477794,6.704240060156795e-05,6.704240060156795e-05,1.1752474402228932,0.0019,False
Jordan,Jordan,250000,2501.0,0.00039984006397441024,0.00034021777056462087,2.4331585678207326e-05,2.4331585678207326e-05,1.1752474402228932,0.0011,False
Curaçao,Curacao,250000,2501.0,0.00039984006397441024,0.00034021777056462087,2.4331585678207326e-05,2.4331585678207326e-05,1.1752474402228932,0.0,False
Haiti,Haiti,250000,2501.0,0.00039984006397441024,0.00034021777056462087,2.4331585678207326e-05,2.4331585678207326e-05,1.1752474402228932,0.0008,False
